,airline_sentiment,sentiment_confidence,text,char_length,word_count
131,neutral,1.0, has flight number  from sfo to cabo san lucas arrived yet?,76,13
132,negative,1.0,  your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline  shame on you!,139,21
133,negative,1.0, another delayed flight? #likingyoulessandless,60,5
134,negative,1.0, i need to register a service dog for a first class ticket from sfo  dulles the phone queue is an hour or longer pls advise,143,27
135,positive,1.0, you rock for making it so i can watch #oscars on my flight!! #redcarpet #oscars #oscars,106,17
136,neutral,1.0,  dropped a track on you ,82,8
137,positive,0.7011, always!!! xoxo,29,3
138,negative,1.0, why cant we book seats on your flights when we buy them or even during check in? creates so much anxiety! #frustrated,133,23
139,negative,0.6543, youd think paying an extra  bucks rt for luggage might afford you hiring an extra hand at  #lame,120,21
140,positive,1.0, best customer service rep in the world! #irmafromdallas takes the cake!!!,88,12
141,neutral,0.355, can you find us a flt out of lax that is sooner than midnight on monday? that would be great customer service ,126,24
142,negative,0.6889, please provide status for flight   i cant imagine its on time as the web indicates  dude to weather here andor dallas,138,23
143,positive,1.0, you have amazing staff  super helpful as i just ran the  #princesshalf they have spoiled me with comfort!!!,143,21
144,negative,1.0, i paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love? sad face ,147,27
145,negative,0.679, question is it not possible to book a seat for an infant under ? its not giving me the option but we want a seat for him,139,28
146,positive,1.0,always have it together!!! youre welcome! rt   youre so welcome,95,12
147,positive,1.0, #flight home to #dc #sunset #globe in #backtowinter back to #work! #refreshed ,116,14
148,negative,1.0, i dont understand why you need a dm to give me an answer on if you have a damaged luggage policy,114,22
149,negative,1.0, does that mean you dont have a policy for destroyed luggage?,77,12
150,neutral,1.0, is there special assistance if i travel alone w kids and  infant? priority boarding?,102,16
151,positive,1.0, thank you for checking in tickets are purchased and customer is happy ,89,14
152,neutral,1.0, is your website ever coming back online?,55,8
153,neutral,0.6732,   is flight  from love field to sfo definitely cancelled flightled for monday february ?,110,17
154,neutral,1.0, is flight  out of lga to dfw on time?,56,11
155,neutral,1.0, my drivers license is expired by a little over a month can i fly friday morning using my expired license?,121,21
156,negative,1.0, having problems flight booking problems on the web site keeps giving me an error and to contact by phone  phone is  minute wait,147,25
157,negative,0.6593, how do i reschedule my cancelled flightled flights online? the change button is greyed out!,106,16
158,negative,1.0, i rang but there is a wait for  minutes!! i can book the same ticket through a vendor fix your site,118,23
159,negative,1.0, got a flight we were told for  todaychecked my email and its for  tomorrow this is unacceptable,125,20
160,negative,1.0, our flight into lga was cancelled flighted were stuck in dallas i called to reschedule told i could get a flight for today,149,24
161,negative,1.0, why dont any of the pairings include red wine?! only white is offered  #redwineisbetter,105,16
162,negative,0.6517, is the website down?,35,5
163,negative,0.68,  your site seems a little wonked right now may want to have a look tried on two browsers no css? ,138,23
164,negative,1.0, im disappointed that the agent at the designated silver status check in line  closed to assist all pasengers,139,20
165,neutral,1.0, plans to include austin to its dallas route  topnews arab #emirates ,106,14
166,negative,1.0, is it normal to receive no reply from central baggage #baggageissues #smh,88,13
167,negative,1.0, at logan airport and waiting to checkin for my am flight checkin desk not open !!!!! why?!,107,18
168,neutral,1.0, to jump into the dallasaustin market   ,90,10
169,neutral,1.0, beats eps views takes on #southwestair va luv  investors business daily ,112,14
170,neutral,1.0, lister to my show my on monday  ,54,10
171,neutral,1.0, to begin dallasaustin #flights in april   ketr ,90,11
172,negative,1.0, congrats you just got all my business from ewr to sfolax fuck you  fl sfoewr was the clincher,126,20
173,negative,1.0,  i applied over  weeks ago havent heard back and im flying this week #disappointed,101,16
174,neutral,0.6816, id love to know what your policy is for damaged luggage,72,12
175,positive,1.0, thank you for the follow,39,6
176,negative,1.0,  too many apologies! you r the worse airlines! dont even respond to your cudtomers,99,16
177,negative,1.0, shame on va for making people spend money in stranded cities when other airlines are landing at jfk! who will reimburse me?,138,23
178,neutral,0.6701,  i dm you,33,5
179,neutral,0.6942, can you please have flights in  sjc ? i have no choice but to fly southwest to vegas ,102,20
180,negative,1.0, too bad you say it takes  to  days via your confirmation email when i inquired after  weeks you claim  to  weeks!,136,27
181,negative,0.6791, flight from bos  las tomorrow was cancelled flightled no notification wait times are  hour will you rebook on another airline?,150,23
182,positive,0.3579, rt  youve met your match got status on another airline? upgrade restr  ,139,16
183,positive,1.0, only way to fly! #elevate #gold,46,7
184,neutral,0.653, if only you guys had flights from cmh,53,9
185,negative,1.0, a lot of apologies being thrown out to customers from what i can seevery sad thanks for nothing worst airline ever,135,22
186,negative,1.0,  for all my flight stuff wrong and did nothing about it had #worst #flight ever,95,16
187,neutral,0.6743, having an issue finding a missing item on a plane can you help me find which airport my plane headed to next?,125,23
188,positive,0.6783, you will match my #americanairlines status? cool!,64,8
189,neutral,0.6863,youve met your matchgot status on another airline? upgrade    ? ,120,14
190,negative,1.0, trying to book a flight with you guys and your website wont let me about to lose my business,111,20
191,negative,1.0, you suck!,24,3
192,positive,1.0, thanks!,22,2
193,negative,1.0, just dmd same issue persisting,48,6
194,negative,1.0, because we never recd cancelled flightlation notice we were left w no options to fly out of ps driving to la for a red eye mon w kids,150,29
195,negative,1.0, trying to book a flight  your site is down ,64,12
196,negative,0.7158, you have any flights flying into boston tomorrow? i need to be home and you cancelled flightled my flight and didnt do anything,143,24
197,negative,1.0, you stink flight cancelled flighted from psp to jfk and no notification or ability to rebook #disappointed  #expected better,141,20
198,positive,1.0, i love your guys song! were dancing to it for our high school dance revue,90,16
199,negative,1.0, your website is down and im trying to check in!,63,11
200,positive,1.0, done! thank you for the quick response apparently faster than sitting on hold ,96,15
201,neutral,0.6809, nervous about my flight from dc to lax getting cancelled flightled tomorrow! just sent you a dm to help me!,122,21
202,positive,1.0, cool picture of another virginamerica plane off our wing what a site! ,108,14
203,positive,1.0, keep up the great work ,40,7
204,positive,1.0, my goodness your people  field are amazing under pressure from texas #beatstheothers in crisis please fly me to ny,136,21
205,positive,0.6775, thanks for a great flight from la to boston! pilots did a great job landing in the snow can we go back to la now? #seriously,140,27
206,neutral,1.0, can you please get me to the new york area before monday afternoon,81,14
207,positive,1.0, thanks so much for the awesome support you guys rock!,69,11
208,negative,0.7053, seats in row  dont recline should mention that on your website #soreback,89,14
209,negative,1.0, flight  delayed  hours in la due to mechanical problems handle like pros but you could have tossed us a free drink,135,24
210,negative,0.642, why cancelled flight flights today? no precipitation to be scared of!  ,92,13
211,positive,0.6667, twitter team you guys killed it for rescheduling me asap thank you!,84,13
212,negative,1.0, you guys charged me  to reschedule a flight that was then cancelled flighted and are now refusing to refund it whats the deal?,147,25
213,negative,1.0, cant access your website from safari on iphone  seems to work on mac and ipad need iphone to add passbook,125,22
214,neutral,0.634, on ipad and iphone clicking the checkin link in the email i received at hrs before flight,107,18
215,negative,0.699, your mobile site is broken shows headerelevateusernumofpointsavailable    number points wont let me checkin,141,17
216,negative,0.664, i was really looking forward to my flight can you let me know when it will be rescheduled? #diehardvirgin,121,20
217,negative,1.0, why cancelled flight flight vx? one sec its delayed on my to airport the next its cancelled flightled?gonna email or call me to reschedule?,159,25
218,negative,1.0, i did it but there was a problem in the link from the email for checkin thanks,95,18
219,negative,1.0, had to change to another airline to get to dc today  why is  able to land in dc but not you? cost me  ugh,137,28
220,negative,1.0, i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one ,138,24
221,positive,0.6522, when are you putting some great deals from pdx to las or from las to pdx show me your love! ,129,22
222,positive,1.0, wish i can afford to fly with you next friday  going back home love everything  about your airline,115,19
223,negative,1.0,  how are you gonna have a deal from dallas to dc but no deal from dc to dallas? #sad,99,20
224,neutral,1.0, its just a bug report guys,43,7
225,negative,1.0, hold times at call center are a bit much,55,10
226,positive,0.7081, like ,42,3
227,negative,0.6455, site down? #help,31,4
228,positive,1.0, you have the best flight attendant ever!!! ,80,9
229,positive,0.6899,awesome! rt  watch nominated films at  feet #meetthefleet #oscars ,110,12
230,positive,1.0, thanks so much!,30,4
231,negative,0.6701, trying to reset my password email never arrives help?,70,10
232,positive,0.6575, the only airline based in silicon valley! #disruption #fcmostinnovative #incubator  s ,137,13
233,positive,1.0, very nicely done ,34,5
234,positive,0.6701, im looking forward to watching the oscars on my flight home tomorrow i might even get something bubbly to drink! ,132,22
235,negative,0.6489, what is the reason  for the delay of the departure of vx  from jfk this afternoon?,100,18
236,negative,0.6786, is todays flight from palm springs ca to jfk in ny cancelled flightled?,87,14
237,positive,1.0, hahaha  you guys are amazing i love you guys!!!,79,11
238,positive,1.0, sounds like fun !,32,5
239,neutral,1.0, any updates on flight  from jfk  lax,58,10
240,neutral,1.0, spruce moose!,28,3
241,negative,1.0, the css on your site is a  right now please fix site unusable,82,15
242,negative,0.6473, were on flight  vegas to boston today checked in online but our bag count didnt register can i fix that somehow?,134,23
243,positive,0.6771, classiq luv virgin america greetingz,53,6
244,negative,0.6636, hi im trying to do checkin but the website is not working i tried  different browsers and the problem continues,131,22
245,positive,1.0, thanks for your great customer service today  for helping me get all my travel sorted out!,110,18
246,positive,1.0, thanks guys! sweet route over the rockies #airplanemodewason,75,9
247,positive,1.0, love the s music blasting at gate in #boston while waiting for flight to #sanfrancisco only if i could get an iced coffee!,140,24
248,negative,0.6706,  the passenger in d flt  that assaulted me shouldnt have flown i trust hes banned crew filed report to ,136,23
249,negative,1.0, current bug on website shows select departure city when selecting destination city ,122,14
250,negative,1.0, luggage was severely dentedmissing wheel coming off baggage claim in san luggage agent miranda i think wasnt any help,138,20
251,positive,1.0, thank you for the easy itinerary shift for impending weather quick painless  free,104,15
252,neutral,0.6598, if youd love to see more girls be inspired to become pilots rt our free woaw event march  at abq ,140,23
253,positive,1.0, thanks! good times there and back! #vodkatonics the entire flight#sfo,85,11
254,neutral,1.0, beats expectations shares take off  santa cruz sentinel ,95,11
255,neutral,1.0, any plans to start flying direct from dal to las?,64,11
256,neutral,0.6701, big lovegratitudempower w  werin #oscars vipswagbags #avalonhollywood ,137,10
257,positive,1.0, youre doing a great job adding little luxuriesaesthetics that improve the air travel experience thank you keep it up!,137,20
258,negative,1.0, requested window seat and confirmed window but got stuck in middle seat not a good way to treat silver member,126,21
259,neutral,1.0, grand budapest hotel #oscarscountdown,52,5
260,neutral,1.0, this is what you missed  next trip to the ,69,12
261,negative,0.6965, #wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,140,23
262,negative,1.0, there is something wrong with you website in safari iphone,73,11
263,positive,1.0, thanks for gate checking my baggage on your full flight dfwlax  and giving me early boarding too #sweet,122,20
264,negative,0.6368, already checked in so the page expired x,56,9
265,negative,1.0, boo for a not refunding a seat upgrade fee i did not want to buy in the first place!,99,20
266,neutral,1.0, shares rise on q financial results  usa today ,85,11
267,neutral,1.0, adds pillows instead of lieflat seats in first class arms race ,101,13
268,positive,0.6855, i see what you did there ,42,8
269,neutral,0.6803, way to take advantage of #mayweatherpacquiao ,62,8
270,neutral,1.0, you know im flying virgin for the fight #mayweatherpacquiao,75,10
271,positive,1.0, your inflight team makes the experience #amazing!,64,8
272,positive,1.0, cutest salt and pepper shaker ever just when i think you guys cant get any better you just do! ,134,21
273,negative,1.0, moved my seat with no notice better seat is cabin select not behind the row i selected #disappointed,119,19
274,neutral,1.0, shares up on q results   ,68,9
275,positive,1.0, fav airline,26,3
276,positive,0.6776, we have a hot female pilot! sweet! dca to sfo! ,65,12
277,neutral,1.0, when are you guys going to start flying to paris?   youre welcome,101,15
278,neutral,1.0, what is your policy on flying after surgery?  i am still waiting for answer so i can tell me doctor,115,21
279,negative,1.0, already contacted central baggage  sent dm  is charging me for the dress that was in the lost suitcase #help,143,22
280,positive,1.0, thank you!!,26,3
281,negative,0.6569, is there anything going on with the website? ive been getting a lot of errors past  minutes,110,19
282,neutral,0.6773, i think i left something on the plane yesterday who do i callah!,83,14
283,neutral,0.642, i need you to follow back in order to dm,56,11
284,neutral,1.0, need to start flying to    ,58,9
285,neutral,0.6791, they told to check with the airline regulation first so that is why i contacted you,99,17
286,negative,1.0,  i have just checked in flight to sfo from lax  been told as atlantic flying club gold i get no benefits?!,141,24
287,negative,1.0, husband and i ordered three drinks via my screen and they never came awesome!,93,15
288,negative,1.0, soooo are you guys going to leave the seatbelt light on all flight? you can barely call this turbulence ,122,21
289,neutral,1.0, what is your policy on flying after surgery?,59,9
290,neutral,1.0, posts second consecutive fullyear net profit   ,96,10
291,negative,1.0, funny story your website is broken you have missing javascript and stylesheets on the checkin process i dislike this!,135,20
292,positive,1.0, would love to do more for virgin just like i do for ,73,14
293,neutral,1.0, results handily exceed forecasts   ,81,8
294,neutral,1.0, i applied for a position in  and i was wondering if you guys received my application,115,18
295,neutral,1.0, achieves a second year of profitability despite revenue pressure    ,123,14
296,neutral,1.0, gives positive outlook but sees increased competition   ,103,11
297,negative,1.0, im trying to check into my am ct flight tmm on the desktop website and its not working some sort of caching bug sos,139,25
298,neutral,0.6625, weather delays  next few weeks  #jfk #bos #dca,67,11
299,neutral,1.0,  check the website before you go to the airport!,72,11
300,negative,1.0, do you guys know your checkin links from emails are broken? ,98,13
301,neutral,1.0, pilot says we expect a choppy landing in nyc due to some gusty winds wa temperature of about  degrees  wthe windchill ,143,25
302,positive,1.0, loved it cant wait for mondays return flight mostly just to watch the inflight safety video again #sorrynotsorry,134,19
303,negative,1.0, lost my luggage  days ago on flight vx  from lax to iad  im calling every day no responseplease give me back my stuff,144,27
304,negative,0.662, the flight booking problems section of your website seems to be broken on chrome might wanna look into that,124,20
305,positive,1.0, hi! just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more!,139,27
306,positive,0.6884, i mean probably inappropriate while on board but its on!,76,11
307,positive,0.6658, happy to spend the day together lets do this!,62,10
308,neutral,0.375, is saving my sanity right now ,68,8
309,neutral,1.0, missed my flight how does standby work?,55,8
310,positive,1.0, they were very understanding and helped me out  thx! #comps,76,11
311,neutral,1.0, brought it all the way across the country today i see ,91,13
312,positive,1.0, thank you! i absolutely will ,45,7
313,negative,1.0, looks like a broken link for your assets ,79,10
314,neutral,0.6529, are you ready!? lets say it together noooo turbulence today! ,82,12
315,negative,1.0, the manage itinerary section of your website seems to be broken for me ,109,15
316,negative,1.0, cant check in your site looks like this every time it loads ,99,14
317,neutral,1.0, can u help this   needs urgent treatment iny old battling cancer could u help with flights #freyasfund,138,20
318,neutral,1.0, may start service to hawaii from #sanfrancisco this year  #biztravel,105,12
319,negative,1.0, other carriers are less than half price for a round trip fare i am stunned ,114,17
320,negative,1.0, wtf is happening in pdx late flight march such that one way from sfo is ?,93,17
321,neutral,0.6667, add dtw and im sold!,36,6
322,positive,0.6809, how about some free drinks on the flight back for the free promo?,80,14
323,positive,1.0,  thanks!,28,3
324,neutral,0.6354, momma i made it! ,35,6
325,neutral,1.0, please contact me about portfolio left on flight vx  from jfk to sfo tonite seat am need it returned call ,139,23
326,neutral,0.6742, help i was on  flight   from jkf tonight seat c left portfolio need it back!!,98,17
327,neutral,0.6745,  seattle bound wifey got me the duffle for vday shes a keeper!!! holla!!! ,125,16
328,negative,1.0, my luggage is gone ive filed my paperwork promised a callemail still no resolution or response from central luggage,136,20
329,neutral,0.6461, debbie baldwin gave a #rockstar performance of the safety demo this evening on vx #lassfo #bestcrew #sherocks,128,18
330,positive,0.6482, thanks!,22,2
331,positive,1.0, thanks for taking care of  on her flight!! #rockstars #travel,84,12
332,positive,1.0, thanks for the lovely soft views! #travel #san to #sfo ,92,12
333,negative,1.0, i requested a mileage challenge for status several weeks ago online but havent heard back how do i get help with this?,135,23
334,negative,0.6381, just trying to book tickets to nyc and facing super fun broken styling dont worry ill keep trying ,119,20
335,neutral,0.6703, many thanks for the follow#ourprincess #freyasfund #usa #bandie looking for any help ,142,17
336,neutral,0.6559, nice lofty view  #silverstatus ,84,7
337,negative,1.0, applied for status match on feb  got confirmation email same day still no news though you guys have dropped ball late flightly ,147,25
338,neutral,0.6673, is my new go to airline,38,7
339,neutral,1.0,    can you help #ourprincess in need of some help in #usa  ,138,17
340,positive,1.0, i adore you and am so looking forward to my flight to austin in two weeks,90,17
341,positive,0.6875, i was so glad it was mentioned i took my first virgin flight a few years back and it was a transformative experience,133,24
342,neutral,1.0, flight booking problems flight to uphold my status match  do taxes on ticket count as earned status points?  #statusmatch #virginamerica,152,21
343,negative,0.6539, trying to checkinbut looks like your site is down?,69,10
344,negative,0.6558, spending my birthday night with you daldca get me home!,73,11
345,negative,0.6596, sent a couple messages to the email you provided but to no avail will try again next year cheers,114,20
346,positive,1.0, first time flying virgin went to #sanfrancisco thanks for the smooth ride easily my new fav airline!,118,18
347,negative,0.6436, seriously though will there not be direct flights from sfofll in may???,89,13
348,negative,0.3617, its fine already done with my purchase but you should try it just go most of the way through then go back ,126,24
349,negative,1.0, not really the experience i was hoping  i ws forced  check in a small carry on w nothing but empty cabin space on board,139,27
350,negative,0.7223,wjere is our luggage #so slow at lax,52,9
351,neutral,0.6925, to jump into the #dallas #austin market ,77,9
352,negative,1.0, i spoke with a representative that offered no solution i am a loyal customer who flies on  as well,129,21
353,negative,1.0, i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email,137,24
354,negative,0.654, what happened to direct flights from sfofll? looking in may only see connecting #help #dontdothistome,118,16
355,neutral,1.0, can you help? left my blazer in kooples jacket bag at rd row second seat from right gate  t lax flight to sfo,133,25
